ATC;NT;NAZEV;NAZEV_EN
A;N;TRÁVICÍ TRAKT A METABOLISMUS;ALIMENTARY TRACT AND METABOLISM
A01;N;STOMATOLOGICKÉ PŘÍPRAVKY;STOMATOLOGICAL PREPARATIONS
A01A;N;STOMATOLOGICKÉ PŘÍPRAVKY;STOMATOLOGICAL PREPARATIONS
A01AA;N;LÁTKY K PREVENCI ZUBNÍHO KAZU;CARIES PROPHYLACTIC AGENTS
A01AA01;N;FLUORID SODNÝ;SODIUM FLUORIDE
A01AA02;N;MONOFLUOROFOSFOREČNAN SODNÝ;SODIUM MONOFLUOROPHOSPHATE
A01AA03;N;OLAFLUR;OLAFLUR
A01AA04;N;FLUORID CÍNATÝ;STANNOUS FLUORIDE
A01AA30;N;LÁTKY K PREVENCI ZUBNÍHO KAZU, KOMBINACE;COMBINATIONS
A01AA51;N;FLUORID SODNÝ, KOMBINACE;SODIUM FLUORIDE, COMBINATIONS
A01AB;N;ANTIINFEKTIVA A ANTISEPTIKA PRO LOKÁLNÍ LÉČBU V DUTINĚ ÚSTNÍ;ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT
A01AB02;N;PEROXID VODÍKU;HYDROGEN PEROXIDE
A01AB03;N;CHLORHEXIDIN;CHLORHEXIDINE
A01AB04;N;AMFOTERICIN B;AMPHOTERICIN B
A01AB05;N;POLYNOXYLIN;POLYNOXYLIN
A01AB06;N;DOMIFEN;DOMIPHEN
A01AB07;N;OXYCHINOLIN;OXYQUINOLINE
A01AB08;N;NEOMYCIN;NEOMYCIN
A01AB09;N;MIKONAZOL;MICONAZOLE
A01AB10;N;NATAMYCIN;NATAMYCIN
A01AB11;N;RŮZNÁ JINÁ ANTIINFEKTIVA A ANTISEPTIKA;VARIOUS
A01AB12;N;HEXETIDIN;HEXETIDINE
A01AB13;N;TETRACYKLIN;TETRACYCLINE
A01AB14;N;BENZOXONIUM-CHLORID;BENZOXONIUM CHLORIDE
A01AB15;N;TIBEZONIUM-JODID;TIBEZONIUM IODIDE
A01AB16;N;MEPARTRICIN;MEPARTRICIN
A01AB17;N;METRONIDAZOL;METRONIDAZOLE
A01AB18;N;KLOTRIMAZOL;CLOTRIMAZOLE
A01AB19;N;PEROXOBORITAN SODNÝ;SODIUM PERBORATE
A01AB21;N;CHLORTETRACYKLIN;CHLORTETRACYCLINE
A01AB22;N;DOXYCYKLIN;DOXYCYCLINE
A01AB23;N;MINOCYKLIN;MINOCYCLINE
A01AB24;N;OKTENIDIN;OCTENIDINE
A01AB25;N;OXYTETRACYKLIN;OXYTETRACYCLINE
A01AC;N;KORTIKOSTEROIDY PRO LOKÁLNÍ LÉČBU V DUTINĚ ÚSTNÍ;CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT
