KOD_SUKL;DATOD;DATDO;POVOL_BALENI;UCEL;PRACOVISTE;DISTRIBUTOR;POZNAMKA;PREDKLADATEL;VYROBCE
0010263;28.03.2023;30.11.2026;715;Zabezpečení zásoby antidot pro léčbu osob kontaminovaných radionuklidy v rámci Středisek speciální zdravotní péče o osoby ozářené při radiačních nehodách (SSZP) a v jiných zdravotnických zařízeních v České republice a zabezpečení antidot pro léčbu intoxikací těžkými kovy pro zdravotnická zařízení v České republice.;Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče a Střediska speciální zdravotní péče o osoby ozářené při radiačních nehodách (SSZP). Koordinaci léčebného programu zabezpečuje Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;"Haupt Pharma Berlin GmbH, Moosrosenstraße 7, 12347 Berlín, Německo; Haupt Pharma Wülfing GmbH, Bethelner Landstr. 18, 31028 Gronau/Leine, Německo"
0013386;01.12.2022;31.12.2025;30;Odstraňování nebo zamezení absorpce radiocesia (např. Cs134, Cs137). Lze použít i jako antidotum pro intoxikaci radioaktivním thalliem či rubidiem.;Zdravotní středisko JE Temelín;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Zdravotní středisko JE Temelín, 373 05 Temelín;"Heyl Chem.-pharm. Fabrik GmbH & Co. KG, Kurfürstendamm 178-179, 10707 Berlin, Německo
Haupt Pharma Wülfing GmbH, Bethelner Landstr. 18, 31028 Gronau/Leine, Německo"
0013386;28.03.2023;30.11.2026;550;Zabezpečení zásoby antidot pro léčbu osob kontaminovaných radionuklidy v rámci Středisek speciální zdravotní péče o osoby ozářené při radiačních nehodách (SSZP) a v jiných zdravotnických zařízeních v České republice a zabezpečení antidot pro léčbu intoxikací těžkými kovy pro zdravotnická zařízení v České republice.;Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče a Střediska speciální zdravotní péče o osoby ozářené při radiačních nehodách (SSZP). Koordinaci léčebného programu zabezpečuje Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;"Heyl Chem.-pharm. Fabrik GmbH & Co. KG, Kurfürstendamm 178-179 10707 Berlin, Německo; 
Haupt Pharma Wülfing GmbH, Bethelner Landstr. 18, 31028 Gronau/Leine, Německo"
0014380;24.05.2021;30.06.2026;200;Zajištění pohotovostní zásoby léčivého přípravku k léčbě poškození jater způsobeným akutní intoxikací houbou Amanita phalloides (muchomůrka zelená).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Madaus GmbH, Německo
0014383;24.05.2021;30.06.2026;200;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu otrav organofosfátovými insekticidy nebo chemickými bojovými látkami na bázi organofosfátů.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;SERB SA, Avenue Louise 480, 1050 Brüssel, Belgie.
0014772;01.02.2022;29.02.2024;800;"Testování funkce reprodukční osy - odlišení poruchy na centrální úrovni
(hypotalamická a pituitární úroveň poruchy) od gonadální dysfunkce u dětí,
adolescentů a dospělých. Testování se provádí u pacientů v dětském věku
s předčasnou pubertou a též při sledování efektu léčby. U adolescentů je léčivý
přípravek určen k diagnostice hypogonadismů a obdobně jako u dospělých také
při vyšetření hyperandrogenních stavů. U dospělých je léčivý přípravek používán
zejména k diagnostice poruch pohlavního vývoje a poruch reprodukce. Vyšetření
pomocí tohoto léčivého přípravku je také součástí testování osy hypotalamushypofýza
u tumorů CNS k časné detekci malfunkce.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;FERRING Pharmaceuticals CZ s.r.o.;;FERRING Pharmaceuticals CZ s.r.o., K Rybníku 475, 252 42 Jesenice u Prahy;Ferring GmbH, Wittland 11, D-24109 Kiel, Německo
0017198;24.05.2021;30.06.2026;250;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu otrav kyanidy a kyanovodíkem. Léčivý přípravek lze použít jako podpůrný terapeutický postup při systémových otravách yperitem, antidotum u otrav cisplatinou, k profylaxi otravy kyanidem při terapeutickém podávání nitroprusidu sodného, jako přísada do roztoku k výplachu žaludku u otrav yperitem, cisplatinou a látkami obsahujícími jód.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Dr. Franz Köhler Chemie GmbH, Werner-von Siemens-Str. 14-28, 64625, Bensheim, Německo.
0051734;24.05.2021;30.06.2026;250;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu otrav olovem a rtutí.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;SERB, 40 avenue George V, 75008 Paris, Francie
0101112;07.04.2021;30.04.2026;400;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu pacientů s tuberkulózou jakékoli lokalizace v kritickém stavu s nemožností přijímat léčiva per os nebo je vstřebávat z GIT (zejména pacienti na umělé plicní ventilaci s podporou vitálních funkcí).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, Lhotka, 142 00 Praha 4;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Riemser Pharma GmbH, An der Wiek 7, 17493 Greifswald-Insel Riems, Německo
0101112;20.12.2022;31.12.2024;4000;Léčba všech forem tuberkulózy s citlivostí původců na rifampicin, a to vždy v kombinaci s dalšími chemoterapeutiky s citlivostí na patogeny tuberkulózy. Léčba jiných infekcí, jejichž původci jsou citliví na rifampicin. Při použití rifampicinu by měly být dodržovány obecně uznávané pokyny pro vhodné použití antimikrobiální látek, speciálně pro použití antimikrobiálních látek určených k léčbě tuberkulózy. Použití intravenózní formy je vyhrazeno především pro pacienty, kteří se nacházejí v kritických situacích a trpí těžkou formou onemocnění nebo u kterých je orální aplikace nemožná nebo nevhodná (poruchy vědomí nebo poruchy trávení, které omezují orální užívání přípravku).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4;;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4;SW Pharma GmbH, Robert-Koch- Straße 1, 66578 Schiffweiler, Německo
